from,to
ambient_bang,ambient_noise
ambient_day,ambient_background
ambient_music,
ambient_night,ambient_background
ambient_rain,ambient_rain
ambient_rustle,ambient_noise
ambient_scraping,ambient_noise
ambient_thunder,ambient_rain
bird_goose,bird_goose
frog_pickerel,frog
frog_tree,frog
human,human
ins_buzz_bee,ins_buzz
ins_buzz_high,ins_buzz
ins_buzz_low,ins_buzz
ins_buzz_RECLASSIFY,ins_buzz
ins_cicada,ins_trill
ins_trill,ins_trill
mech_auto_bike,mech_auto
mech_auto_car,mech_auto
mech_auto_hum,mech_auto
mech_auto_RECLASSIFY,mech_auto
mech_auto_truck,mech_auto
mech_combine,mech_auto
mech_drone,mech_hum
mech_hum_auto,mech_hum
mech_hum_chainsaw,mech_hum
mech_hum_lawnmower,mech_hum
mech_hum_RECLASSIFY,mech_hum
mech_hum_traffic,mech_hum
mech_plane_car,mech_plane
mech_plane_helicopter,mech_plane
mech_plane_jet,mech_plane
mech_plane_prop,mech_plane
mech_RECLASSIFY,
mech_siren,mech_siren
mech_traffic_RECLASSIFY,
mech_train,mech_train
static,ambient_noise
unknownClicking,
